Исаакиевский собор;5;10
Эрмитаж;8;11
Кунсткамера;3.5;4
Петропавловская крепость;10;7
Ленинградский зоопарк;9;15
Медный всадник;1;17
Казанский собор;4;3
Спас на Крови;2;9
Зимний дворец Петра I;7;12
Зоологический музей;5.5;6
Музей обороны и блокады Ленинграда;2;19
Русский музей;5;8
Навестить друзей;12;20
Музей восковых фигур;2;13
Литературно-мемориальный музей Ф.М. Достоевского;4;2
Екатерининский дворец;1.5;5
Петербургский музей кукол;1;14
Музей микроминиатюры «Русский Левша»;3;18
Всероссийский музей А.С. Пушкина и филиалы;6;1
Музей современного искусства Эрарта;7;16
